
Split_id	Input_Company_name	CIN	MCA_Company_Name	Company_Address	MCA_Status
SP2	SPINCOTECH PRIVATE LIMITED	U51507TN2002PTC048571	SPINCOTECH PRIVATE LIMITED	NEW NO.4, VAIDYARAM STREET,T-NAGAR, CHENNAI-17. TAMIL NADU TN 600017 IN	Active
SP2	SQS IND INFOSYSTEMS PRIVATE LIMITED	U72200PN2003PTC018619	SQS INDIA INFOSYSTEMS PRIVATE LIMITED.	PLOT NO.25/1, RAJIV GANDHI INFOTECH PARK, MIDC PHASE III, HINJEWADI, PUNE MH 411057 IN	Active
SP2	PLANSEE INDIA HIGH PERFORMANCE MATERIALS PRIVATE LIMITED	U27201KA1991PTC011566	PLANSEE INDIA HIGH PERFORMANCE MATERIALS PRIVATE LIMITED	Plot No.311, Hebbal Industrial Area Metagalli Post Mysore KA 570016 IN	Active
SP2	ST ERICSSON IND PRIVATE LIMITED	U74120DL2008FTC180337	ST-ERICSSON INDIA PRIVATE LIMITED	S - 327, Lower Ground Floor Greater Kailash - II New Delhi South Delhi DL 110048 IN	Active
SP2	PRG INTERNATIONAL ELECTRICALS PRIVATE LIMITED	U32108DL2006PTC149776	PRG INTERNATIONAL ELECTRICALS PRIVATE LIMITED.	B-43, JHILMIL INDUSTRIAL AREA, SHAHDARA DELHI DL 110095 IN	Active
SP2	STARAGRI FINANCE LIMITED	U65999MH1995PLC267097	STARAGRI FINANCE LIMITED	3rd floor, B Wing, Litolier Chambers Andheri-Kurla Road, Marol Naka, Andheri East Mumbai Bandra Suburban MH 400059 IN	Active
SP2	PRIMUS GLOBAL TECHNOLOGIES PRIVATE LIMITED	U29128KA2007PTC042677	PRIMUS GLOBAL TECHNOLOGIES PRIVATE LIMITED	28/2, Siddapur, 5th and 6th floor, whitefield main road, Bangalore Bangalore KA 560066 IN	Active
SP2	STELLAR INFORMATION TECHNOLOGY PRIVATE LIMITED	U72300DL2006PTC147288	STELLAR INFORMATION TECHNOLOGY PRIVATE LIMITED	205, Skipper Corner, 88 Nehru Place New Delhi South Delhi DL 110019 IN	Active
SP2	STERLING AND WILSON ENERGY SYSTEM PRIVATE LIMITED	U51504MH2008PTC181253	STERLING & WILSON ENERGY SYSTEMS PRIVATE LIMITED	10th Floor, Universal Majestic L.P. Lokhande Marg, Chembur Mumbai MH 400043 IN	Active
SP2	PROTECHSOFT SYSTEMS PRIVATE LIMITED	U72200TN2002PTC049149	PROTECHSOFT SYSTEMS PRIVATE LIMITED	NEW NO 22 OLD NO 183RD AVENUE BEASANT NAGAR CHENNAI 600 090 CHENNAI 600 090 TN 600090 IN	Active
SP2	STERLING HELTHCARE LIMITED	U85110MH2007PLC171223	STERLING HEALTHCARE LIMITED	43,Atlanta Nariman Point MUMBAI MH 400021 IN	Active
SP2	STIRA TECHNOLOGIES PRIVATE LIMITED	U72900TN2017PTC115425	STIRA SYSTEMS PRIVATE LIMITED	A-3, SUKESH APARTMENTS, AYYASAMY ST.,NEHRU NAGAR, CHROMPET, CHENNAI. Chennai TN 600044 IN	Active
SP2	SUCESSFACTORS BUSINESS SOL I PRIVATE LIMITED	U72200KA2009PTC049655	SUCCESSFACTORS BUSINESS SOLUTIONS INDIA PRIVATE LIMITED	Tower 'C' 2nd floor, Diamond District 150, Old Airport Road, Bangalore Bangalore KA 560008 IN	Amalgamated
SP2	QUIPPO ENERGY LIMITED	U70109WB2007PLC218320	QUIPPO ENERGY LIMITED	VISHWAKARMA, 86C TOPSIA ROAD (S) KOLKATA Kolkata WB 700046 IN	Active
SP2	R J BIO TECH LIMITED	L24234MH2005PLC158420	R J BIO-TECH LIMITED	SIDDHARTH ARCADE OPP HOLIDAYCAMP STATION ROAD AURANGABAD MUMBAI MH 431005 IN	Active
SP2	SVIZERA PHARMATECH LIMITED	U73100MH2006PTC164934	SVIZERA PHARMATECH PRIVATE LIMITED	23-24, KALPATARU COURT, DR. C. G. ROAD, CHEMBUR MUMBAI MH 400074 IN	Strike Off
SP2	REDCENTRIC SOLUTIONS PRIVATE LIMITED	U72200TG2006PTC048738	REDCENTRIC SOLUTIONS PRIVATE LIMITED	606 TO 611, 6TH FLOOR.MANJEERA TRINITY CORPORATE SY NO 1050,PLOT NO52A, KPHB, KUKATPALLY HYDERABAD Rangareddi TG 500072 IN	Active
SP2	RESEARCH NOW INDIA PRIVATE LIMITED	U73100DL2010PTC207221	RESEARCH NOW INDIA PRIVATE LIMITED	Suite no.203, Second floor Building no-234 A, Chandi Plaza New Delhi South Delhi DL 110065 IN	Active
SP2	TECHNOSTRIDES SOLUTIONS PRIVATE LIMITED	U72200TN2007PTC064779	TECHNOSTRIDES SOLUTIONS PRIVATE LIMITED	No. 2, Muthiayal Naidu Street, Little Mount Velachery Road, Saidapet Chennai TN 600015 IN	Strike Off
SP2	RGS INTERNATIONAL PRIVATE LIMITED	U23203DL1983PTC015643	RGS INTERNATIONAL PRIVATE LIMITED	E-30 Connaught Place New Delhi DL 110001 IN	Active
SP2	TEKTRONIX ENGINEERING DEVELOPMENT	U74140KA1996PTC020729	TEKTRONIX (INDIA) PRIVATE LIMITED	SALARPURIA PREMIA, SURVEY NO 16,KADUBEESANA HALLI, VARTHUR HOBLI,SARJAPUR OUTER RING ROAD, BANGALORE Bangalore KA 560103 IN	Active
SP2	TELETECH INDUSTRIES PRIVATE LIMITED	U72900DL2000PTC108460	TELETECH INDUSTRIES PRIVATE LIMITED	NO-51FURNITURE BLOCK KIRTI NAGAR NEW DELHI West Delhi DL 000000 IN	Active
SP2	RIVERSAND GLOBAL TECHNOLOGIES PRIVATE LIMITED	U72200KA2004PTC034349	RIVERSAND GLOBAL TECHNOLOGIES PRIVATE LIMITED	8TH FLOOR, TOWER D, IBC KNOWLEDGE PARK, 4/1, BANNERGHATTA MAIN ROAD, BANGALORE Bangalore KA 560029 IN	Active
SP2	TGE GAS ENGINEERING PRIVATE LIMITED	U74200DL2009PTC186298	TGE GAS ENGINEERING PRIVATE LIMITED	C-240, FLAT NO-107 PANDAV NAGAR DELHI East Delhi DL 110092 IN	Active
SP2	ROCKWELL HOISTOCRANES PRIVATE LIMITED	U74899DL1985PTC019816	ROCKWELL HOISTOCRANES PRIVATE LIMITED	AB-37, Mianwali Nagar Paschim Vihar New Delhi West Delhi DL 110087 IN	Active
SP2	TIETO IT SERVICES INDIA PRIVATE LIMITED	U72200PN1994PTC137531	TIETO INDIA PRIVATE LIMITED	Wing 1, Cluster D, EON Free Zone, MIDC Kharadi Knowledge Park, Pune Pune MH 411014 IN	Amalgamated
