
Split_id	Input_Company_name	CIN	MCA_Company_Name	Company_Address	MCA_Status
SP1	ABARIS HEALTHCARE PVT LTD	U74900DL2009PTC188425	ABARIS HEALTHCARE PRIVATE LIMITED	3050, PLASTIC MARKET, BHADURGARH ROAD SADAR BAZAR DELHI DL 110006 IN	Active
SP1	AMIT METALIKS LTD	U27109WB2004PLC099772	AMIT METALIKS LIMITED	RATURIA ANGADPUR INDUSTRIAL AREA P.O. ANGADPUR DURGAPUR WB 713215 IN	Active
SP1	ATHARVA ENGINEERING PVT LTD	U28900MH2012PTC227274	ATHARVA ENGINEERING PRIVATE LIMITED	C-303, INTOP HEIGHT CO-OP HOUSING SOCIETY PLOT NO. 70/71, SECTOR-19, AIROLI, NAVI MUMBAI Thane MH 400708 IN	Active
SP1	AMIT MOTORS PVT LTD	U34101UP1994PTC017152	AMIT MOTORS PRIVATE LIMITED	104, FORTUNA APPTS. 15, JOPLING ROAD LUCKNOW UP 226001 IN	Active
SP1	ATHARVA FOUNDRIES PVT LTD	U28910PN2008PTC131297	ATHARVA FOUNDRIES PRIVATE LIMITED	A-2/1102, RAHUL TOWERS,S. NO.95PART, PLOT B, BHUSARI COLONY, KOTHRUD PUNE MH 411038 IN	Active
SP1	ABBEY HEALTHCARE PVT LTD	U24234WB2006PTC112090	ABBEY HEALTHCARE PRIVATE LIMITED	4/19A, VIDYASAGAR COLONY, NIHARIKA APATMENT 1ST FLOOR, FLAT NO. 1A AND 1B, P.O. NAKTALA KOLKATA Kolkata WB 700047 IN	Active
SP1	AMITY CONSULTANCY SERVICES PVT LTD	U74140JH1991PTC004500	AMITY CONSULTANCY SERVICES PRIVATE LIMITED	9, CONTRATORS GODOWN AREA PS- SONARI JAMSHEDPUR JH 831011 IN	Active
SP1	ATHARVA INDUSTRIES LTD	U74999MH2009PLC195417	ATHARVA INDUSTRIES LIMITED	MALAD HIGHWAY VIEW CHS LTD, SHOP NO.1, A3 WING, GROUND FLOOR, NEAR KURAR POLICE STATION, MALAD (E) MUMBAI Mumbai City MH 400097 IN	Active
SP1	ATHARVA PACKAGING PVT LTD	U21020MP2008PTC020536	ATHARVA PACKAGING PRIVATE LIMITED	PLOT NO.32B, SECTOR "A", SANWER ROAD INDORE MP 452015 IN	Active
SP1	ATHIVINAYAKAR WIRES PVT LTD	U31300TZ1985PTC001566	ATHIVINAYAKAR WIRES PRIVATE LIMITED	1254AVANASHI ROAD PEELAMEDU COIMBATORE TN 641004 IN	Active
SP1	ABHIDEEP CHEMICALS PVT LTD	U24110MH1986PTC041439	ABHIDEEP CHEMICALS PVT LTD	503 KESHAVABANDRA KURLA COMPLEX BANDRA EAST MUMBAI MH 400051 IN	Active
SP1	ATLANDES METAL AND TOOL INDUSTRIES PVT LTD	U28920KL2008PTC022777	ATLANDES METAL AND TOOL INDUSTRIES PRIVATE LIMITED	48/426,VALLANEZHATH HOUSE, ELAMAKKARA COCHIN KL 682026 IN	Active
SP1	ABHIJEET ARIHANT AUTOPLAST PVT LTD	U29248TN2012PTC084535	ABHIJEET ARIHANT AUTOPLAST PRIVATE LIMITED	Plot No.19,20 and 21, Sengundram Industrial Estate Melrosapuram, Singaperumalkoil, Kanchipuram Dist. Singaperumalkoil Kancheepuram TN 603204 IN	Active
SP1	AMNEAL ONCOLOGY PVT LTD	U24230GJ1998PTC084755	AMNEAL ONCOLOGY PRIVATE LIMITED	882/1-871, SARKHEJ BAVLA HIGHWAY, NEAR HOTEL KANKAVATI,VILAAGE-RAJODA, BAVLA AHMEDABAD Ahmedabad GJ 382220 IN	Active
SP1	ATLANTIC HOTELS PVT LTD	U55101TN1972PTC006167	ATLANTIC HOTELS PRIVATE LIMITED	2, MONTIETH ROAD EGMORE,MADRAS-8 MADRAS-8 MADRAS-8 Chennai TN 600008 IN	Amalgamated
SP1	ABHILASHA ENTERPRISES PVT LTD	U74900UP2010PTC039676	ABHILASHA ENTERPRISES PRIVATE LIMITED	5/895,VIRAM KHAND GOMTI NAGAR LUCKNOW Lucknow UP 226010 IN	Strike Off
SP1	AMOGH CHEMICALS PVT LTD	U24110MH1999PTC117723	AMOGH CHEMICALS PRIVATE LIMITED	PLOT NO 79MANKIVLI BADLAPUR THANE MH 421503 IN	Active
SP1	ATLAS METAL PROCESSORS PVT LTD	U28991TN1995PTC030082	ATLAS METAL PROCESSORS PRIVATE LIMITED	NO 69 (OLD NO 29), ELDAMS ROAD, TEYNAMPET, CHENNAI Chennai TN 600018 IN	Active
SP1	ABHINANDAN SNACKS PVT LTD	U15130MH2003PTC143783	ABHINANDAN SNACKS PRIVATE LIMITED	A-204,SHYAM KAMAL, AGRAWAL MARKET TEJPAL ROAD, VILE PARLE (E) MUMBAI Mumbai City MH 400057 IN	Active
SP1	AMPL CLEANTECH PVT LTD	U27109WB2006PTC109168	AMPL CLEANTECH PRIVATE LIMITED	AVANI SIGNATURE, 6TH FLOOR, 91A/1, PARK STREET KOLKATA WB 700016 IN	Active
SP1	ATOR HEALTH CARE PVT LTD	U24230MH2004PTC148920	ATOR HEALTH CARE PRIVATE LIMITED	C/O ATOR PHARMACEUTICALDARUWALA COMPOUND S V ROAD MALAD WEST MUMBAI MH 400064 IN	Active
SP1	AMPLE TEXTECH PVT LTD	U74994WB2011PTC159394	AMPLE TEXTECH PRIVATE LIMITED	18 RABINDRA SARANI PODDAR COURT GATE NO. 1 4TH FLOOR ROOM NO. 422 KOLKATA Kolkata WB 700001 IN	Active
