
Split_id	Input_Company_name	CIN	MCA_Company_Name	Company_Address	MCA_Status
SP1	ESSAR BULK TERMINAL PARADIP LIMITED		U63000GJ2009PLC058496	ESSAR BULK TERMINAL PARADIP LIMITED	ESSAR HOUSE, OPP. GUJARAT COLLEGE NEAR HOTEL INDER RESIDENCY, ELLISBRIDGE AHMEDABAD GJ 380006 IN	Active
SP1	FIRST ADVANTAGE GLOBAL OPERATING CENTER PRIVATE LIMITED		U72200KA2000PTC026751	FIRST ADVANTAGE GLOBAL OPERATING CENTER PRIVATE LIMITED	UNIT-1, LEVEL-1, EXPLORER BUILDING, INTERNATIONAL TECH PARK, WHITEFIELD, BANGALORE Bangalore KA 560066 IN	Active
SP1	FIRST ADVANTAGE PRIVATE LIMITED		U85110MH2001PTC132569	FIRST ADVANTAGE PRIVATE LIMITED	1ST FLOOR, BUILDING NO. 7, INTERFACE LINK ROAD, MALAD (W) MUMBAI MH 400064 IN	Active
SP1	FIRST AMERICAN INDIA PRIVATE LIMITED		U72200KA2009PTC048852	FIRST AMERICAN (INDIA) PRIVATE LIMITED	Ground to 7th floor, Aveda Meta Bldg, No 184 BBMP PIDNo82-105-8/1 Old MadrasRoad IndiraNagar PO Bengaluru Bangalore KA 560038 IN	Active
SP1	FLASH VIVEN MACHINING TECHNOLOGIES PRIVATE LIMITED		U29253DL2013PTC256198	FLASH VIVEN MACHINING TECHNOLOGIES PRIVATE LIMITED	202, Western Avenue Sainik Farms New Delhi South Delhi DL 110062 IN	Active
SP1	FLOWMORE LIMITED		U74899DL1967PLC004773	FLOWMORE LIMITED	PLOT NO-14, BLOCK - II MOHAN CO -OP. INDUSTRIAL ESTATE NEW DELHI South Delhi DL 110044 IN	Active
SP1	FORTIS HOSPITALS LIMITED		U93000DL2009PLC222166	FORTIS HOSPITALS LIMITED	Escorts Heart Institute And Research Centre Okhla Road New Delhi DL 110025 IN	Active
SP1	GANGOTRI ENTERPRISES LIMITED		U01403UP1991PLC013717	GANGOTRI ENTERPRISES LIMITED	B-158, SECTOR A MAHANAGAR LUCKNOW UP 226006 IN	Active
SP1	GAURSONS PROMOTERS PRIVATE LIMITED		U45200DL2006PTC157197	GAURSONS PROMOTERS PRIVATE LIMITED	D-25 VIVEK VIHAR DELHI DL 110095 IN	Active
SP1	GESTAMP PUNE AUTOMOTIVE PRIVATE LIMITED		U28939PN2008PTC132576	GESTAMP PUNE AUTOMOTIVE PRIVATE LIMITED	GAT NO. 374, 517-521 & 523, VILLAGE TAKVE BUDRUK TAL MAVAL VADGAON VILLAGE TAKVE BUDRUK MH 412106 IN	Active
SP1	GILLETTE PRODUCTS PRIVATE LIMITED		U74899MH1995PTC247244	GILLETTE PRODUCTS PRIVATE LIMITED	P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (East), Mumbai Mumbai City MH 400099 IN	Amalgamated
SP1	GITANJALI LIFESTYLES LIMITED		U36911MH2007PLC170596	GITANJALI LIFESTYLE LIMITED	OFFICE NO. 6, B WING, 1ST FLR., LAXMI TOWERS, BANDRA KURLA COMPLEX, BANDRA (EAST) MUMBAI Mumbai City MH 400051 IN	Active
SP1	GLAXOSMITHKLINE ASIA PRIVATE LIMITED		U15209DL1995PTC073278	GLAXOSMITHKLINE ASIA PRIVATE LIMITED	E-46, GREATER KAILASH INEW DELHI DL 000000 IN	Not available for efiling
SP1	GLOSTER LIMITED		U17100WB1923PLC004628	GLOSTER LIMITED	21, STRAND ROAD KOLKATA Kolkata WB 700001 IN	Active
SP1	GMR AIRPORTS LIMITED		U65999KA1992PLC037455	GMR AIRPORTS LIMITED	SKIP HOUSE, 25/1, MUSEUM ROAD, BANGALORE KA 560025 IN	Active
SP1	GMR ENERGY TRADING LIMITED		U31200KA2008PLC045104	GMR ENERGY TRADING LIMITED	25/1, SKIP HOUSE MUSEUM ROAD BANGALORE. BANGALORE KA 560025 IN	Active
SP1	GODREJ OIL PALM LIMITED		U15122MH2006PLC163857	GODREJ OIL PALM LIMITED	Pirojshanagar, Eastern Express Highway, Vikhroli (East) MUMBAI MH 400079 IN	Amalgamated
SP1	GODREJ PREMIUM BUILDERS PRIVATE LIMITED		U70102MH2011PTC213784	GODREJ PREMIUM BUILDERS PRIVATE LIMITED	Godrej One, 5th Floor, Pirojshanagar Eastern Express Highway, Vikhroli (East) Mumbai Mumbai City MH 400079 IN	Amalgamated
SP1	GOLDMOHUR DESIGN AND APPAREL PARK LIMITED		U17291MH2007GOI195402	GOLDMOHUR DESIGN AND APPAREL PARK LIMITED	DADA SAHEB PHALKE ROAD, DADAR (EAST) MUMBAI MH 400014 IN	Active
SP1	GOODYEAR SOUTH ASIA TYRES PRIVATE LIMITED		U99999MH1993PTC075617	GOODYEAR SOUTH ASIA TYRES PRIVATE LIMITED	H-18 & L-1, MIDC Industrial Area, Waluj Aurangabad MH 431136 IN	Active
SP1	GOODYEAR TIRE AND RUBBER		U99999MH1930PTC001569	GOODYEAR TYRE AND RUBBER COMPANY (INDIA) LIMITED	MH IN	Not available for efiling
SP1	GREAT EASTERN RETAIL PRIVATE LIMITED		U63022WB1998PTC086420	GREAT EASTERN RETAIL PRIVATE LIMITED	15B, SARAT BOSE ROAD KOLKATA WB 700020 IN	Active
SP1	GROMAX AGRI EQUIPMENT LIMITED		U34100GJ1978PLC003127	GROMAX AGRI EQUIPMENT LIMITED	VISHWAMITRINR RAILWAY OVERBRIDGE VADODARA GJ 390011 IN	Active
