
Split_id	Input_Company_name	CIN	MCA_Company_Name	Company_Address	MCA_Status
SP1	GAMMON ENGIREERS AND CONTRACTORS PVT LTD	U45100MH2014PTC260191	GAMMON ENGINEERS AND CONTRACTORS PRIVATELIMITED	Gammon House, Veer Savarkar Marg, Prabhadevi, Mumbai Mumbai City MH 400025 IN	Active
SP1	GE INTERNATIONAL INC	U31500DL1992PTC194724	GE INDIA INDUSTRIAL PRIVATE LIMITED	A-18, First Floor Okhla Industrial Area Phase II New Delhi South Delhi DL 110020 IN	Active
SP1	GENERAL ELECTRIC	U31500DL1992PTC194724	GE INDIA INDUSTRIAL PRIVATE LIMITED	A-18, First Floor Okhla Industrial Area Phase II New Delhi South Delhi DL 110020 IN	Active
SP1	GINGER ROOTS CORPORATION	U55100MH2003PLC143639	ROOTS CORPORATION LIMITED	GODREJ AND BOYCE COMPLEX, GATE NO. 8, PLANT NO. 13, OFFICE BUILDING VIKHROLI EAST MH 400079 IN	Active
SP1	GVK JAIPUR EXPRESSWAY PVT LTD	U45203AP2002PTC063406	GVK JAIPUR EXPRESSWAY PRIVATE LIMITED	156-159, PAIGAH HOUSE SARDAR PATEL ROAD SECUNDERABAD AP 500003 IN	Active
SP1	HANON AUTOMOTIVE SYSTEMS INDIA PVT LTD	U35911TN1997PTC037782	HANON AUTOMOTIVE SYSTEMS INDIA PRIVATE LIMITED	KEELAKARANAI VILLAGE,MALROSAPURAM POST CHENGALPATT 603204 603204 TN 000000 IN	Active
SP1	HCL COMNET LTD	U74899DL2001PLC111951	HCL COMNET LIMITED	806, SIDDHARTH 96 NEHRU PLACE NEW DELHI DL 110019 IN	Active
SP1	HCL HEWLETTPACKARD	L74140DL1991PLC046369	HCL TECHNOLOGIES LIMITED	806, SIDDHARTH, 96, NEHRU PLACE NEW DELHI DL 110019 IN	Active
SP1	HENAN ENERGY AND CHEMICAL	U15421MH2007PLC174599	GANGAKHED SUGAR & ENERGY LIMITED	B-43/169, Shalom, Sunder Nagar, Sunder Nagar Lane, Kalina, Santacruz (East) Mumbai Mumbai City MH 400098 IN	Active
SP1	HEWLETT PACKARD INDIA SALES PVT LTD	U72200KA1997PTC022727	HP INDIA SALES PRIVATE LIMITED	24, Salarpuria Arena, Hosur Main Road Adugodi Bangalore KA 560030 IN	Active
SP1	HONDA MOTOR	U34102UP2006FTC032370	HONDA MOTOR INDIA PRIVATE LIMITED	Plot No A-1/2, Sector 40/41, Surajpur - Kasna Road Greater Noida Gautam Buddha Nagar UP 201306 IN	Active
SP1	HONDA MOTOR INDIA PVT LTD	U34102UP2006FTC032370	HONDA MOTOR INDIA PRIVATE LIMITED	Plot No A-1/2, Sector 40/41, Surajpur - Kasna Road Greater Noida Gautam Buddha Nagar UP 201306 IN	Active
SP1	HOSPIRA HEALTHCARE UPGRADED	U24232TN2009PTC073563	PFIZER HEALTHCARE INDIA PRIVATE LIMITED	Plot No. B3, SIPCOT Industrial Park Irungattukottai Sriperumbudur Kancheepuram TN 602117 IN	Active
SP1	HOTEL COMMERCE SOLUTIONS PVT LTD	U63040MH2006FTC163655	HOTEL COMMERCE SOLUTIONS PRIVATE LIMITED	BUNGALOW NO1,HIM & KAYS HOUSE, POWAI VIHAR COMPLEX POWAI, NEAR GOPAL SHARMA SCHOOL, MUMBAI Mumbai City MH 400076 IN	Active
SP1	HOTLINE CPT LTD	U55101DL1996PLC079756	HOTLINE CPT LIMITED	52 A, OKHLA INDUSTRIAL ESTATE PHASE - III DELHI South Delhi DL 110020 IN	Active
SP1	HP INDIA SALES PVT LTD	U72200KA1997PTC022727	HP INDIA SALES PRIVATE LIMITED	24, Salarpuria Arena, Hosur Main Road Adugodi Bangalore KA 560030 IN	Active
