Split_id	Input_Company_name		CIN	MCA_Company_Name	Company_Address	MCA_Status	status
"sp2,negative"	GLOBAL NUTRIFOOD PVT LTD		U74140DL2004PTC131725	GLOBAL NUTRIFOOD PRIVATE LIMITED	"J-10, Green Park Main New Delhi Delhi South Delhi DL 110016 IN"	Active	
"sp2,negative"	GLOBE SOYA PRODUCTS LIMITED		U99999DL1985PLC021330	GLOBE SOYA PRODUCTS LIMITED	"14,2ND FLOOR,U-158,VATS COMPLEX,MAIN VIKAS MARG SHAKARPUR DELHI-92 DL 000000 IN"	Strike Off	
"sp2,negative"	GMR CHHATTISGARH ENERGY		U40108KA2008PLC047974	GMR CHHATTISGARH ENERGY LIMITED	"SKIP HOUSE, 25/1 MUSEUM ROAD BANGALORE KA 560025 IN"	Active	
"sp2,negative"	GMR RAJAHMUNDRY ENERGY LTD		U40107KA2009PLC051643	GMR RAJAHMUNDRY ENERGY LIMITED	"No. 25/1, Skip House Museum Road Bangalore KA 560025 IN"	Active	
"sp2,negative"	GNANA GANAPATHY CHITS P LTD		U65992TN2004PTC053664	GNANA GANAPATHY CHITS PRIVATE LIMITED	"26, NEW STREETMANNADY CHENNAI 600 001 CHENNAI 600 001 TN 600001 IN"	Strike Off	
"sp2,negative"	GOODYIELD INVESTMENTS P LTD		U65991TN1986PTC013228	GOODYIELD INVESTMENTS PRIVATE LIMITED	NO 151 SRI RANGA MAMBALAM HIGH ROAD T NAGAR CHENNAI TN 600017 IN	Active	
"sp2,negative"	GREEN POWER SUGARS LTD		U15421PN2006PLC022248	GREEN POWER SUGARS LIMITED	GAT NO 606 GOPUJ KHATAV SATARA Satara MH 415510 IN	Active	
"sp2,negative"	GUPTA INFRATEC PVT LTD		U45203MH2002PTC137098	GUPTA INFRATEC PRIVATE LIMITED	"4th Floor, Gupta Tower, Temple Road, Civil Lines Nagpur Nagpur MH 440001 IN"	Active	
"sp2,negative"	GURU KODI GREEN POWER P LTD		U40102TN2012PTC085625	GURU KODI GREEN POWER PRIVATE LIMITED	"43, KAMARAJAR SALAI VIRUGAMBAKKAM CHENNAI Chennai TN 600092 IN"	Strike Off	
"sp2,negative"	H M C FABRICS P LTD		U17111TZ1993PTC004758	H M C FABRICS PRIVATE LIMITED	"699/2, R.M. INDUSTRIAL COMPLEX, KAMARAJ ROAD, TIRUPUR TN 641604 IN"	Strike Off	
"sp2,negative"	H R BLOCK IND PVT LTD		U72900PN2006PTC128344	H & R BLOCK (INDIA) PRIVATE LIMITED	"3rd Floor, Anand Square, Survey No 232, H. No 1+2 Sakore Nagar, Vimannagar Pune Pune MH 411014 IN"	Active	
"sp2,negative"	HAMPTONS INTERNATIONAL IND P L		U51101DL2007PTC164668	HAMPTONS INTERNATIONAL (INDIA) PRIVATE LIMITED	"B-376, 3rd Floor Nirman Vihar Delhi New Delhi DL 110092 IN"	Strike Off	
"sp2,negative"	HANJONG ENERGY TECHNOLOGY P L		U74999PN2017PTC169136	PANAMASOLAIRE ENERGY PRIVATE LIMITED	S-199/204/205/206 LOHAGAON MAGAZINE FLOOR VIMAN NAGAR PUNE Pune MH 411014 IN	Active	
"sp2,negative"	HANKOOK LATEX PRIVATE LIMITED		U25199KL1997PTC011519	HANKOOK LATEX PRIVATE LIMITED	"5/415B, RUBBER PARK, IRAPURAM,VALAYAMCHIRANGARA PO PERUMBAVOOR ERNAKULAM Ernakulam KL 683556 IN"	Active	
"sp2,negative"	HARAPA INTERNATIONAL PVT LTD		U72200MH2007PTC169187	HARAPA INTERNATIONAL PRIVATE LIMITED	"TRADE STAR, 5TH FLOOR, B WING ANDHERI KURLA ROAD ANDHERI EAST Mumbai City MH 400059 IN"	Strike Off	
"sp2,negative"	HARDIK INDUSTRIAL CORPORATION PVT LTD		U24130GJ2010PTC061775	HARDIK INDUSTRIAL CORPORATION PRIVATE LIMITED	"A/3, RAMESHWAR COMPLEX, GHOGHA CIRCLE, BHAVNAGAR GJ 364002 IN"	Active	
"sp2,negative"	HILLFORT PALACE PRIVATE LTD		U15540TG1998PTC029827	HILLFORT PALACE PRIVATE LIMITED	"5-9-24, COLDRITZ HOTEL, ,HILL FORT ROAD ADARSH NAGR, HYD HYD Hyderabad TG 000000 IN"	Strike Off	
"sp2,negative"	HIMACHAL PRADESH ELECTRI BOARD		U40109HP2009SGC031255	HIMACHAL PRADESH STATE ELECTRICITY BOARD LIMITED	"Vidyut Bhawan, HPSEB, Shimla-171004 Shimla HP 171004 IN"	Active	
"sp2,negative"	HINDUSTAN RDYMIX CONCRTE P LTD		U26942TZ2011PTC017300	HINDUSTAN READYMIX CONCRETE PRIVATE LIMITED	O NO 759 N NO 16 EAST WEST ROAD LAKSHMIPURAM GANAPATHY COIMBATORE Coimbatore TN 641006 IN	Strike Off	
"sp2,negative"	HUDSON FISH FEEDS PRIVATE LTD		U05004TG2011PTC073068	HUDSON FISH FEEDS PRIVATE LIMITED	"House No.13A, MLA's Colony, Road.No.12, Banjara Hills, Hyderabad TG 500034 IN"	Strike Off	
"sp2,negative"	I O L CHEMICALS		L24116PB1986PLC007030	IOL CHEMICALS AND PHARMACEUTICALS LIMITED	TRIDENT COMPLEX RAIKOT ROAD BARNALA PUNJAB PB 148101 IN	Active	
"sp2,negative"	ICONIC DESIGNS PRIVATE LIMITED		U72200TG2003PTC040445	ICONIC DESIGNS PRIVATE LIMITED	"Pioneer Towers, 7th Floor, Plot No.16 Software units layout, Madhapur, Hitech City Hyderabad Hyderabad TG 500081 IN"	Active	
"sp2,negative"	INDIAN CHEMPHAR LIMITED		U24239TG1994PLC018324	INDIAN CHEMPHAR LIMITED	"PLOT NO.218,&219 PHASE II IDA,PASHUAMYLARAM MEDAK DISTRICT ANDHRA PRADESH. West Godavari TG 000000 IN"	Strike Off	
"sp2,negative"	INDO DOHA CHEMCLS PHARMACT LTD		U24117TN1990PLC018542	INDO DOHA CHEMICALS AND PHARMACEUTICALS LIMITED	"3, 3RD STREET ,SUBRAMANIYA NAGAR MOOVARASANPET CHENNAI Chennai TN 600091 IN"	Strike Off	
"sp2,negative"	INDUSTRIAL MINERALS IND P LTD		U29256TN1997PTC038709	INDUSTRIAL MINERALS INDIA PRIVATE LIMITED	RAJA AGENCY BUILDING COMPLEXMADATHUR TUTICORIN-8 TUTICORIN-8 TN 628008 IN	Active	
"sp2,negative"	INSIGNE SOLUTIONS PVT LTD		U72200TG2007PTC053825	INSIGNE SOLUTIONS PRIVATE LIMITED	"7-1-25/1, 1ST FLOOR, ARIHANT ARCADE OPPOSITE CANARA BANK, GREEN LANDS,BEGUMPET-500016 HYDERABAD Hyderabad TG 500016 IN"	Strike Off	
"sp2,negative"	ISERVE BPO PVT LTD		U74900MH2012PTC235511	ISERVE BPO PRIVATE LIMITED	"3RD FLOOR, HARI OM I.T. PARK, MAHAJAN WADI NEAR MIDC TANK, BEHIND ICON TEMPLE, MIRA ROAD (E) THANE Thane MH 401107 IN"	Strike Off	
"sp2,negative"	ISHWARYA AZOICS LTD		U18201TN2006PLC114337	ISHWARYA AZOICS LIMITED	"17 D, KEERAIKARANTHATTU TISAIYANVILAI TIRUNELVELI Tirunelveli TN 627657 IN"	Active	
"sp2,negative"	JALPOWER CORPORATION LTD		U40109TG2004PLC043985	JALPOWER CORPORATION LIMITED	"Road # 07, Flat # B2, Film Nagar, Jubilee Hills, Hyderabad TG 500033 IN"	Active	
"sp2,negative"	JAS INFRASTRUCTURE AND POWER		U40109WB2002PLC162558	JAS INFRASTRUCTURE AND POWER LIMITED	"FE-83, SECTOR-III SALT LAKE CITY, GROUND FLOOR KOLKATA Kolkata WB 700106 IN"	Active	
